店名,捷運站,地址,官網,wifi 穩定,價格便宜,咖啡好喝,安靜程度,插座,有無限時,有賣單品,有賣正餐,有賣甜點,週一,週三,週二,週五,週六,週四,週日,,
水牛書店,科技大樓,台北市大安區瑞安街222巷2號,https://www.facebook.com/ShuiNiuWenHuaShiYe/,4,4,4,5,Yes,No,Yes,No,Yes,未營業,11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,,
Z.E.R.O Café,,台北市松山區南京東路五段23巷6弄29號,暫無資料,5,5,5,5,Yes,,Yes,Yes,Yes,未營業,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,09:30 - 21:30,,
都凱莊園精品咖啡 Tucán Café,,新北市板橋區民族路139號,https://www.facebook.com/Tuc%C3%A1n-Caf%C3%A9-%E9%83%BD%E5%87%B1-1767313926893803/,4,3.5,4,4,,,,,,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,09:00 - 18:00,11:00 - 20:00,09:00 - 18:00,,
Remember Me_記得我．Café,台北小巨蛋站5號出口步4分,台北市松山區南京東路四段133巷4弄16號,https://www.facebook.com/remembermecafe/?fref=ts,5,4,4,3,Yes,,Yes,Yes,Yes,12:00 - 22:30,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 02:00,12:00 - 22:30,,
布拉格咖啡館Café Prague,,106 台北市 台北市溫州街20號,http://www.cafeprague.com.tw,5,3,5,5,,No,Yes,No,Yes,14:00 - 00:00,14:00 - 00:00,未營業,14:00 - 00:00,14:00 - 00:00,14:00 - 00:00,14:00 - 00:00,,
遊藝思文創空間,,大安區辛亥路二段171巷15號,https://www.facebook.com/yoursplace/,5,4,5,4,Yes,No,Yes,Yes,Yes,未營業,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,,
Keystone Coffee Roasters,,台北市中山區八德路二段267巷19號1樓,暫無資料,4,5,5,5,Yes,,Yes,No,Yes,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,10:00 - 18:00,08:00 - 21:00,10:00 - 18:00,,
MIKI 米綺咖啡,,台北市信義區松德路12-1號,https://www.facebook.com/mikicoffee.tw/,5,4,4,5,Yes,No,Yes,Yes,Yes,未營業,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,
BooGoo布咕Cafe,南京復興,台北市松山區敦化北路120巷19號,https://www.facebook.com/boogoocafe/,5,4,4,3,Yes,No,,Yes,Yes,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,12:00 - 20:00,11:30 - 20:00,12:00 - 20:00,11:30 - 20:00,,
BPLUS CAFE,永安市場,新北市永和區安樂路248之3號,https://www.facebook.com/BPLUS-CAFE-546342132236513/,5,5,4,4,Yes,No,,,Yes,10:00 - 17:30,10:00 - 17:30,10:00 - 17:30,10:00 - 17:30,10:00 - 17:30,10:00 - 17:30,10:00 - 17:30,,
影響咖啡,,台北市中正區重慶南路二段96號,https://www.facebook.com/%E5%BD%B1%E9%9F%BF%E5%92%96%E5%95%A1-140342266035014/,5,4,5,5,Yes,No,Yes,Yes,Yes,08:00 - 17:30,08:00 - 17:30,08:00 - 17:30,08:00 - 17:30,08:00 - 17:30,08:00 - 17:30,未營業,,
Coffee-z(湛盧外帶店,,台北市中山區復興北路76號,暫無資料,4,4,5,3,Yes,No,Yes,No,Yes,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,11:00 - 18:00,08:00 - 19:00,11:00 - 18:00,,
C25度咖啡館,,臺北市大安區安和路一段21巷23號1F,https://www.facebook.com/c25cafe/,4,3,4,4,Yes,No,,Yes,,09:00 - 00:00,09:00 - 00:00,未營業,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,,
K's New Coffee,松山,115 Taipei 臺北市八德路四段788號,https://www.facebook.com/ksnewcoffee/?fref=ts,5,4.5,5,5,Yes,No,Yes,No,Yes,未營業,12:00 - 19:00,未營業,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,,
卡那達咖啡店,忠孝新生站2號出口步1分,台北市中正區臨沂街13巷5號,https://www.facebook.com/cafeganada/,5,3,4,4,Yes,,No,Yes,Yes,12:00 - 21:00,12:00 - 21:00,未營業,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,,
5 Senses Café（台大店）,"六張犁站步13分/科技大樓站步15分/公館站2號出口步15分/公車站""自來水處""步3分/YouBike""基隆長興路口""站步2分",台北市大安區基隆路三段85號,https://www.facebook.com/5senses.cafe/,4,4,4,3,Yes,No,Yes,Yes,Yes,12:00 - 22:30,12:00 - 22:30,12:00 - 22:30,12:00 - 22:30,10:30 - 22:30,12:00 - 22:30,10:30 - 22:30,,
True Coffee 烘焙工作室,景安,新北市中和區連勝街78號,https://www.facebook.com/true.coffee2010,3,4,5,3,,No,Yes,,Yes,未營業,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,09:30 - 21:00,10:00 - 20:00,09:30 - 21:00,,
威爾貝克手烘咖啡古亭店,,台北市中正區羅斯福路二段118號,https://www.facebook.com/wilbeck.cafe,4,4,3,3,Yes,No,Yes,No,No,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,09:00 - 21:00,08:00 - 21:00,09:00 - 21:00,,
TAHOJA,,台北市太原路46號,https://www.facebook.com/Tahojatw/,4,3,5,3,Yes,,Yes,Yes,Yes,11:30 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,09:00 - 00:00,,
樂樂咖啡,"南京三民站1號出口步9分/公車站""三民路""步2分/YouBike''健安新城""站步2分, ""民生活動中心""站步5分, ""西松高中""站步6分",台北市松山區延壽街129號,https://www.facebook.com/cafelakulaku/,5,3,5,4,Yes,No,Yes,Yes,Yes,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,11:00 - 23:00,,
917 好事咖啡創意廚房,六張犁,台北市大安區安居街8巷19號,https://www.facebook.com/HowsCoffee/,5,4,3.5,4,,,,Yes,Yes,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,,
沛洛瑟,小南門站2號出口步6分,100台北市中正區中華路二段75巷40號,https://www.facebook.com/caffepeloso/,5,4,5,4,Yes,No,Yes,No,Yes,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,,
敘‧XHALE,,台北市大同區赤峰街35-1號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
PEG配個咖啡吧,六張犁站,台北市信義區嘉興街309號,https://www.facebook.com/PEGCoffee/,3,3,5,5,Yes,No,Yes,No,Yes,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 20:00,14:00 - 18:00,,
Omima cafe,,台北市中山區伊通街111號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
紅澤咖啡豆販,,新北市板橋區文化路二段441巷2弄7號,https://www.facebook.com/caferedbean/,4,4.5,5,5,,,,,,未營業,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,,
羊毛與花 ‧ 溫州,公館／台電大樓,台北市大安區新生南路三段60巷1號,https://www.facebook.com/youmoutoohanaCoffeeWenzhou/,5,3.5,4.5,5,Yes,,,,Yes,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,,
統將咖啡溫州店,台電大樓,台北市大安區溫州街74巷12號1樓,https://m.facebook.com/統將精選咖啡-163647123670428/,1,3,4,1,,,,,,10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,10:00 - 20:30,13:00 - 20:30,,
Fifteen Steps Workshop,,台北市信義區莊敬路423巷7弄25號1樓,https://www.facebook.com/15steps/,1,3,4,4,No,No,Yes,No,Yes,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,,
三槐堂,中正紀念堂站2號出口步4分,台北市中正區羅斯福路一段72巷2號,https://www.facebook.com/pages/%E4%B8%89%E6%A7%90%E5%A0%82/179939712048934,1,3,4,5,Yes,No,Yes,No,Yes,未營業,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,12:00 - 19:00,,
曬貓咖啡,科技大樓,106台北市大安區106和平東路2段107巷23弄17號1樓,暫無資料,4.5,4.5,4.5,3.5,,,Yes,,Yes,,,,,,,,,
怡客咖啡行天宮捷運店,,台北市中山區松江路277號1樓,暫無資料,2,4,3,2,Yes,No,Yes,Yes,Yes,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,07:00 - 22:00,,
OFNA Coffee,南京三民站,105 台北市 南京東路五段66巷2弄11號1樓,https://www.facebook.com/ocnjsm/,5,5,4,4,Yes,No,Yes,Yes,Yes,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,07:00 - 18:00,08:30 - 17:30,07:00 - 18:00,08:30 - 17:30,,
CAFELAURENT,,台北市大安區忠孝東路四段219號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
青逸 Chic Tea • 時茶 x 慢味,後山埤,台北市南港區玉成街140巷21號,https://www.facebook.com/chictearoom/,3,3.5,3.5,4,Yes,,,Yes,Yes,未營業,13:30 - 21:00,13:30 - 21:00,13:30 - 21:00,12:00 - 21:00,13:30 - 21:00,12:00 - 21:00,,
FabCafe,忠孝新生,台北市中山區八德路一段1號,https://www.facebook.com/FabcafeTaipei/,3,3,3,3,Yes,,,Yes,Yes,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 22:00,10:00 - 22:00,10:00 - 19:00,10:00 - 19:00,,
葉子咖啡館,"公館站3號出口步6分, 台電大樓站2號出口步6分/公車站""台大""步2分, ""台電大樓""步3分/YouBike""羅斯福新生南路口""站步5分",台北市大安區羅斯福路三段283巷14弄16之1號,https://www.facebook.com/pages/Leaf-coffee-%E8%91%89%E5%AD%90%E5%92%96%E5%95%A1%E9%A4%A8/169261029788871,5,3.5,4,3.5,Yes,,,,,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,12:00 - 00:00,,
茴香,,台北市中山區中山北路二段59巷2號,暫無資料,4,4,5,4,,,,,,,,,,,,,,
Aroma corner 馥隅,松山機場;南京三民,台北市松山區新中街43號,https://www.facebook.com/aromacorner.tw/,5,5,5,4,Yes,No,,Yes,Yes,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,11:00 - 19:00,10:30 - 19:00,11:00 - 19:00,10:30 - 19:00,,
八重奏咖啡沙龍,,新北市板橋區四川路二段31號,https://www.facebook.com/OctetCoffeeSelection/,3,2.5,4,4.5,Yes,Yes,Yes,Yes,Yes,11:30 - 21:00,11:30 - 21:00,未營業,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,,
馫品咖啡,,新北市蘆洲區集賢路220號,https://www.facebook.com/%E9%A6%AB%E5%93%81%E5%92%96%E5%95%A1%E9%9B%86%E8%B3%A2%E5%BA%97-1416528278647451/?fref=ts,5,5,5,4,,,Yes,Yes,Yes,13:00 - 19:00,13:00 - 19:00,13:00 - 19:00,13:00 - 19:00,13:00 - 19:00,未營業,13:00 - 19:00,,
城市草倉 C-tea loft,"台電大樓站2號出口步5分, 公館站3號出口步6分/公車站""台電大樓""步3分, ""台大""步4分/YouBike""捷運台電大樓站(2號出口)""站步5分, ""羅斯福新生南路口""站步6分, ""辛亥新生路口站""步8分",台北市大安區羅斯福路三段283巷19弄4號,https://www.facebook.com/ctealoft/,5,4,5,5,Yes,No,No,No,Yes,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,11:00 - 23:00,12:00 - 22:00,11:00 - 23:00,,
貓孩在極簡 minimal cafe,"台電大樓站3號出口步8分, 古亭站4號出口步10分/公車站""師大綜合大樓""步2分, ''師大''步3分/YouBike""和平龍泉街口""站步2分",台北市大安區泰順街2巷42號,https://www.facebook.com/貓孩在極簡極簡咖啡館-271265149663167/,4,3,3,3,Yes,,Yes,Yes,Yes,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,,
The FOLKS,,台北市大安區四維路208巷3-1號,https://www.facebook.com/pg/thefolkstaipei,4.5,3,5,3,Yes,No,Yes,No,Yes,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,08:00 - 17:00,未營業,08:00 - 17:00,,
夢飛行甜點咖啡店,,100台北市中正區愛國東路38號,https://www.facebook.com/%E5%A4%A2%E9%A3%9B%E8%A1%8C%E7%94%9C%E9%BB%9E%E5%92%96%E5%95%A1%E5%BA%97-208237106263396/?ref=br_rs,5,5,5,5,Yes,,Yes,Yes,Yes,10:00 - 19:00,未營業,10:00 - 19:00,10:00 - 21:00,10:00 - 21:00,10:00 - 19:00,10:00 - 21:00,,
微客棧人文空間,東門,台北市大安區信義路二段44巷10弄6號,https://www.facebook.com/wakercoffee/,5,5,3,4,Yes,No,,,,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,11:30 - 21:00,,
喝什麼。KaPi,民權西路捷運站,台北市中山區民權西路36-1號,https://www.facebook.com/drinkkapi/,4,3.5,3,3,Yes,No,Yes,Yes,Yes,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,08:00 - 22:00,,
烘之豆專業咖啡店-品蕎,,台北市延吉街137巷30號之2,https://www.facebook.com/Angel.beans/,4,3,3,2,No,No,Yes,No,No,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,08:30 - 20:00,未營業,,
息坐Shizen Coffee,"東門站1號出口步6分/忠孝新生站5號出口步8分/公車站""仁愛臨沂街口""步1分",台北市中正區臨沂街55-3號,https://www.facebook.com/shizen.coffee/,5,5,5,5,Yes,No,Yes,No,Yes,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,12:00 - 22:00,,
La Mure Cafe 拉米爾廚房,,台北市文山區忠順街二段45號,https://www.facebook.com/LaMureCafe/?tsid,5,3,5,5,Yes,No,Yes,Yes,Yes,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,未營業,,
SideWalk Espressobar,,臺北市光復南路17巷32號,暫無資料,4,4.5,5,3.5,Yes,No,No,No,Yes,,,,,,,,,
自然醒咖啡公寓,"科技大樓站步4分/公車站''國北教大實小''""復興南路口""步1分, ''國立臺北教育大學''步3分, ''捷運科技大樓站''步4分/YouBike""敦親公園""站步3分, ''捷運科技大樓站''站步4分",台北市大安區和平東路二段157號2樓,https://www.facebook.com/WakinUpCafeApartment/,4.5,3,4,3,Yes,,No,No,Yes,13:00 - 21:00,13:00 - 21:00,未營業,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,,
對味 The TASTE,,新北市中和區南山路81巷8弄2號,https://www.facebook.com/TheTASTE2015/,5,4,4,3,Yes,,Yes,Yes,Yes,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,09:00 - 21:00,,
WOOSO CAFÉ KITCHEN,,臺北市大同區華陰街65號,https://www.facebook.com/BullDog.fmaily/,4,3.5,4,4,,No,Yes,Yes,Yes,未營業,12:00 - 21:00,未營業,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 22:00,,
PAUSE studio 暫停工作室,,台北市松山區南京東路五段250巷18弄8號,https://www.facebook.com/pausestudiotw/,5,3.5,4.5,4,Yes,,Yes,No,Yes,11:00 - 20:00,11:00 - 20:00,未營業,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,11:00 - 20:00,,
敲敲咖啡 KNOCK KAFE,忠孝敦化/國父紀念館,台北市大安區延吉街126巷10號,https://www.facebook.com/knockkafetaipei/,3.5,3,3,3,No,,No,Yes,Yes,未營業,12:00 - 22:00,12:00 - 22:00,12:00 - 23:00,11:00 - 23:00,12:00 - 22:00,11:00 - 21:30,,
萊茵城堡咖啡館,,淡水區真理街4之1號,https://www.facebook.com/rhinecastle/,5,3,5,4,Yes,,Yes,No,Yes,未營業,13:30 - 19:30,未營業,13:30 - 19:30,11:00 - 19:30,13:30 - 19:30,11:00 - 19:30,,
白鬍子咖啡,,台北市大同區重慶北路三段25巷26號,暫無資料,5,5,5,5,Yes,No,No,No,No,,,,,,,,,
Hulu House,,236 土城區青雲路240號,https://www.facebook.com/Hulu-House-344307625721411/?fref=ts,5,4,4,4,Yes,No,,Yes,,未營業,11:00 - 20:00,未營業,11:00 - 20:00,10:00 - 20:00,11:00 - 20:00,10:00 - 20:00,,
喵吧咖啡廳 - meow bar,"南京三民站1號出口步4分/公車站""南京三民路口""步2分, ""長壽公園""步4分/YouBike""捷運南京三民站(1號出口)""""健康新城""站步4分",台北市松山區南京東路5段123巷1弄11號,https://www.facebook.com/meowbar1,4.5,3.5,3.5,3.5,Yes,No,No,Yes,Yes,10:00 - 21:00,未營業,未營業,10:00 - 21:00,10:00 - 22:00,10:00 - 21:00,10:00 - 21:00,,
湛盧咖啡大安店,,台北市大安區新生南路一段161巷2-1號,http://www.zhanlu-coffee.com/,3,3,5,3,Yes,No,Yes,No,Yes,,,,,,,,,
眼鏡咖啡,"大安站6號出口步7分/公車站""信義敦化路口""步5分/Youbike""信義敦化路口""站步5分, ""仁愛醫院""站步6分",台北市大安區四維路52巷6號,https://www.facebook.com/coffeemegane,5,3,4,3.5,Yes,,,,,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,,
時咖啡,菜寮站3號出口步7分,三重區大仁街5號,https://www.facebook.com/timecafe5/,5,4,4,4,Yes,No,Yes,Yes,Yes,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,08:00 - 21:00,未營業,08:00 - 21:00,,
NOTCH內湖店,"西湖站1號出口步7分, 港墘站1號出口步7分/公車站''麗山街''步2分/YouBike""麗山國小""站步1分",台北市內湖區內湖路一段411巷10-2號,https://www.facebook.com/NotchNeiHuYiDian/,5,5,5,4.5,Yes,No,Yes,No,Yes,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,10:00 - 19:00,07:30 - 19:00,未營業,,
頓益咖啡匠,,10491台灣台北市中山區遼寧街108巷3號,https://www.facebook.com/DunYiCafe/,4,3.5,4,4,Yes,No,Yes,No,Yes,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,未營業,10:00 - 19:00,未營業,,
OROMO CAFE 世貿店,,110台北市信義區吳興街15號,https://www.facebook.com/oromocafe1/,5,4.5,5,3.5,Yes,,,,,,,,,,,,,
Think Cafe,,台北市中山區安東街18號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
Nom Nom,東門,大安區潮州街137號,https://www.facebook.com/nomnomtaipei/,4,3,5,3,,No,,Yes,Yes,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,09:00 - 22:00,09:00 - 22:00,10:00 - 22:00,09:00 - 22:00,,
BOCY Patisserie & Bistro,,台北市南港區忠孝東路六段403巷1弄17號,https://www.facebook.com/bocypastry/,5,4.5,3.5,2,Yes,No,No,Yes,Yes,11:00 - 17:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,
forgood 好多咖啡,東門站,台北市大安區永康街41巷12號,https://www.facebook.com/forgoodcafe/,4,3,4,3,Yes,,No,No,Yes,13:00 - 22:00,13:00 - 22:00,未營業,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,13:00 - 22:00,,
小莊園咖啡,,新北市板橋區明德街1之4號,https://www.facebook.com/manorcafe/,5,5,4.5,4.5,,No,Yes,No,Yes,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 18:00,10:00 - 20:00,未營業,,
興波咖啡Simple Kaffa,,台北市中正區忠孝東路二段27號,暫無資料,4,3.5,4,4,,,Yes,,Yes,,,,,,,,,
黑蔓芭現烘咖啡,,虎林街132巷88號C室,https://www.facebook.com/blackmanba8/,5,5,5,4,Yes,No,Yes,Yes,Yes,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,,
歐客佬咖啡農場錦州店,,台北市中山區錦州街296號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
小時咖啡,中山站,台北市大同區赤峰街33巷10號1樓,https://www.facebook.com/hourcafe/,5,4,4,5,Yes,No,No,Yes,Yes,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,12:00 - 21:00,11:00 - 19:00,12:00 - 21:00,11:00 - 19:00,,
圓山草堂櫻花咖啡館,,252 新北市三芝區橫山里大坑1-2號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
herzmoment 笛瑟甜點工坊,,110台北市信義區虎林街202巷66號,https://www.facebook.com/herzmomentsweetsfactory2017/,5,4,5,4,Yes,No,Yes,No,Yes,未營業,12:30 - 19:30,12:30 - 19:30,12:30 - 19:30,13:00 - 19:00,未營業,13:00 - 19:00,,
Uranium Cafe,大安,復興南路一段253巷32號,暫無資料,4,4,4,4,Yes,No,Yes,Yes,Yes,,,,,,,,,
Arthere Café 上樓看看咖啡,市政府,台北市忠孝東路五段165巷3弄6號1-2樓,https://www.facebook.com/ArthereCafe/,5,3,4,3,Yes,No,,Yes,Yes,11:30 - 23:30,11:30 - 23:30,11:30 - 23:30,11:30 - 23:30,11:30 - 23:30,11:30 - 23:30,11:30 - 23:30,,
香榭咖啡屋,"公車站""大仁街""步1分, ""大庭新村""步3分/YouBike""國光公園站""站步5分",新北市板橋區大勇街28號,https://www.facebook.com/pages/%E9%A6%99%E6%A6%AD%E5%92%96%E5%95%A1%E5%B1%8B/195986393752145,5,3,4,4,Yes,No,Yes,Yes,Yes,10:00 - 22:00,10:00 - 22:00,未營業,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,,
季節香茶葉與咖啡烘焙屋,頂溪,新北市永和區仁愛路71號,https://www.facebook.com/季節香茶葉與咖啡烘焙屋-1741446479412889/,4,4,5,2,Yes,No,Yes,,Yes,,,,,,,,,
喘口氣cafe,台北小巨蛋4號出口,台北市松山區八德路3段199巷1弄20號,https://m.facebook.com/takedeepbreath/,5,4,5,5,Yes,No,Yes,Yes,Yes,11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,11:30 - 21:30,10:00 - 21:30,11:30 - 21:30,未營業,,
alpha Black (延吉店),,台北市大安區忠孝東路四段250-2號1樓,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
良師塾人文食飲 Literati cafe',府中,新北市板橋區府中路29-2號3樓,https://www.facebook.com/%E8%89%AF%E5%B8%AB%E5%A1%BE%E4%BA%BA%E6%96%87%E9%A3%9F%E9%A3%B2-Literati-cafe-315297965627813/,5,3,4,3,Yes,No,Yes,Yes,Yes,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,11:00 - 21:30,09:30 - 21:30,11:00 - 21:30,09:30 - 21:30,,
Steam E;den Café 蒸氣龐克主題咖啡館,,台北市中山區中山北路二段42巷10號1樓,暫無資料,4,3.5,4,4,No,Yes,Yes,Yes,Yes,,,,,,,,,
森式咖啡館 SENSE,,新北市永和區水源街39巷26號,https://www.facebook.com/sensemumumu/,5,3,5,3,Yes,No,Yes,Yes,Yes,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 23:00,12:00 - 21:00,11:00 - 21:00,,
覓旅咖啡豆坊,葫洲站,台北市內湖區康寧路三段54巷12號,https://www.facebook.com/MiuCafeMill/,5,4,5,5,No,No,Yes,No,Yes,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,
Coffee Smith石牌店,,台北市北投區明德路333巷31號,https://www.facebook.com/Coffee-Smith%E7%9F%B3%E7%89%8C-221010001386763/,4,3,5,4,Yes,,Yes,Yes,Yes,10:30 - 09:30,10:30 - 09:30,10:30 - 09:30,10:30 - 09:30,10:30 - 09:30,10:30 - 09:30,10:30 - 09:30,,
福璟鮮烘咖啡店,,新北市中和區景平路598號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
咖啡瑪榭忠孝店,忠孝敦化站三號出口,台北市大安區敦化南路一段233巷62號,https://www.facebook.com/cafemarche2011,5,3,4,4,Yes,,Yes,Yes,Yes,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,08:30 - 22:00,,
呷米共食廚房,台大醫院站,台北市中正區衡陽路9號,https://m.facebook.com/Ricerevolutioneco,5,4,5,4,Yes,,Yes,Yes,Yes,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,08:00 - 21:00,11:00 - 17:00,,
1975 Antique’s Cafe Tea Room,,台北市北投區大業路719號之1號,暫無資料,4,3.5,4,4,,,,,,,,,,,,,,
儲房咖啡館,南京復興/松江南京,台北市中山區建國北路一段67巷29號,https://www.facebook.com/ministoragecafe/,4.5,3,3,3,Yes,No,,,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,,
KOYA Coffee,"江子翠站2號出口步5分/公車站""江翠國中""步2分/YouBike""江翠國中""站步2分",新北市板橋區文化路二段125巷56號,https://www.facebook.com/KOYACoffeeTaiwan/,2.5,2.5,2.5,2.5,Yes,Yes,Yes,Yes,Yes,未營業,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,11:00 - 21:00,,
哈亞珈琲三創店,,台北市中山區市民大道三段2號4樓,暫無資料,4,3.5,4,4,No,,Yes,No,Yes,,,,,,,,,
烘焙者咖啡,"東門站5號出口步5分/公車站''金華國中""''金華大廈""步3分/YouBike""金華公園""站步2分",台北市大安區金華街243巷7號,https://www.facebook.com/RFCCYK/,4,3,5,3,No,,Yes,,,08:30 - 23:00,08:30 - 23:00,08:30 - 23:00,08:30 - 23:00,08:30 - 23:00,08:30 - 23:00,08:30 - 23:00,,
骰子人遊戲咖啡館,,新北市中和區捷運路85號,https://www.facebook.com/dicemancafe/?ref=aymt_homepage_panel,5,4,5,2,,,,Yes,Yes,未營業,13:00 - 21:00,13:00 - 21:00,13:00 - 21:00,12:00 - 22:00,13:00 - 21:00,12:00 - 22:00,,
口力口非 KOULI COFFEE,世貿/101站,台北市信義區嘉興街11-1號,https://www.facebook.com/koulicoffee/?fref=ts,1,5,3,3,Yes,No,Yes,No,Yes,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,07:30 - 19:00,08:00 - 16:00,07:30 - 19:00,08:00 - 16:00,,
